;;;;;;;;;;;;;;
MarkaKodu;TipKodu;MarkaAdı;TipAdı;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013
9;1024;AUDI;A1 SPORTBACK 1.4 TFSI (185) S TRONIC;0;0;0;0;0;0;0;0;589125;530604;460206
9;1025;AUDI;A1 SPORTBACK 1.6 TDI (90) S TRONIC;0;0;0;0;0;0;0;0;535514;509519;497748
9;1026;AUDI;A5 COUPE 1.8 TFSI (170) MULTITRONIC PI;0;0;0;0;0;0;0;908922;838105;751175;691078
9;1027;AUDI;A5 COUPE 2.0 TFSI (211) QUATTRO S TRONIC PI;0;0;0;0;0;0;0;0;0;0;805062
9;1028;AUDI;A5 COUPE 2.0 TDI (177) MULTITRONIC;0;0;0;0;0;0;0;1018726;939924;842508;804369
9;1029;AUDI;S5 COUPE PI;0;0;0;0;0;0;0;2402370;2042348;1808129;1580695
9;1030;AUDI;RS5 PI;0;0;0;0;0;0;0;3117375;2682077;2322589;1900383
9;1031;AUDI;A5 SPORTBACK 2.0 TFSI 211 QUATTRO S TRONIC PI;0;0;0;0;0;0;0;0;0;0;822352
9;1032;AUDI;A5 SPORTBACK 2.0 TDI (177) MULTITRONIC PI;0;0;0;0;0;0;0;1152220;1027650;961299;828121
9;1033;AUDI;S5 SPORTBACK PI;0;0;0;0;0;0;0;2402370;2042348;1808129;1580695
9;1034;AUDI;A8 L 3.0 TDI (250) QUATTRO TIPTRONIC;0;0;0;0;0;0;0;3450475;3011261;2574168;1983861
9;1035;AUDI;A5 SPORTBACK 1.8 TFSI (160) MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0
9;1036;AUDI;S3 SPORTBACK S TRONIC;0;0;0;0;0;0;0;0;0;0;0
9;1037;AUDI;A4 ALLROAD 2.0 TDI 177 QUATTRO S TRONIC PI;0;0;0;0;0;0;0;1218817;1097056;1036910;953360
9;1038;AUDI;A4 ALLROAD 2.0 TFSI 211 QUATTRO S TRONIC;0;0;0;0;0;0;0;0;0;0;886897
9;1039;AUDI;A5 CABRIO 1.8 TFSI 170 MULTITRONIC;0;0;0;0;0;0;0;1273461;1115728;1009609;892400
9;1040;AUDI;A5 CABRIO 2.0 TFSI 211 QUATTRO S TRONIC PI;0;0;0;0;0;0;0;0;0;0;989866
9;1041;AUDI;A5 CABRIO 2.0 TDI 177 MULTITRONIC PI;0;0;0;0;0;0;0;1395909;1187370;1070176;956490
9;1042;AUDI;S5 CABRIO PI;0;0;0;0;0;0;0;2348372;2097800;1903957;1864583
9;1043;AUDI;S6 4.0 TFSI 420 QUATTRO S TRONIC;0;0;0;0;0;0;0;2974678;2427702;2074274;1769098
9;1044;AUDI;S6 AVANT 4.0 TFSI 420 QUATTRO S TRONIC;0;0;0;0;0;0;0;3077276;2530037;2184058;1843617
9;1045;AUDI;S7 SPORTBACK 4.0 TFSI 420 QUATTRO S TRONIC;0;0;0;0;0;0;0;3478187;2923785;2411386;2052664
9;1046;AUDI;S8 4.0 TFSI 520 QUATTRO TIPTRONIC;0;0;0;0;0;0;5929777;4798678;4649531;4097992;3423578
9;1047;AUDI;A3 1.4 TFSI 122 ATTRACTION S TRONIC;0;0;0;0;0;0;0;540824;503465;475271;434004
9;1048;AUDI;A3 1.4 TFSI 122 AMBITION S TRONIC;0;0;0;0;0;0;0;582007;545527;513504;467737
9;1049;AUDI;A3 1.4 TFSI 122 AMBIENTE S TRONIC;0;0;0;0;0;0;0;582007;545424;513504;467737
9;1050;AUDI;A3 1.6 TDI 105 ATTRACTION S TRONIC;0;0;0;0;0;0;0;635319;598729;564416;520540
9;1051;AUDI;A3 1.6 TDI 105 AMBITION S TRONIC;0;0;0;0;0;0;0;676417;638394;603027;554626
9;1052;AUDI;A3 1.6 TDI 105 AMBIENTE S TRONIC;0;0;0;0;0;0;0;676493;638394;603027;554626
9;1053;AUDI;RS4 AVANT PI;0;0;0;0;0;0;0;3194390;2646486;2183102;1828997
9;1054;AUDI;Q5 2.0 TFSI 225 QUATTRO S TRONIC PI;0;0;0;0;0;0;0;1334606;1206392;1109087;979346
9;1055;AUDI;TTRS PLUS COUPE S TRONIC;0;0;0;0;0;0;0;2464060;2135738;1864598;1759524
9;1056;AUDI;Q5 2.0 TDI 177 QUATTRO S TRONIC PI;0;0;0;0;0;0;0;1486338;1311256;1068187;1041318
9;1057;AUDI;A1 SPORTBACK 1.4 TFSI 185 AMBITION S TRONIC;0;0;0;0;0;0;0;0;624947;561602;517823
9;1058;AUDI;A6 3.0 TDI 313 QUATTRO TIPTRONIC;0;0;0;0;0;0;0;1906710;1828720;1453133;1306046
9;1059;AUDI;A6 AVANT 3.0 TDI 313 QUATTRO TIPTRONIC;0;0;0;0;0;0;0;2061544;1822280;1453133;1306046
9;1060;AUDI;A5 SPORTBACK 2.0 TDI 177 QUATTRO S TRONIC PI;0;0;0;0;0;0;0;1200756;1065312;972835;893475
9;1061;AUDI;A7 SPORTBACK 3.0 TFSI 310 QUATTRO S TRONIC;0;0;0;0;0;0;0;2229612;2090117;1908559;1795433
9;1062;AUDI;A7 SPORTBACK 3.0 TDI 245 QUATTRO TIPTRONIC;0;0;0;0;0;0;0;2456429;2222926;1851394;1555109
9;1063;AUDI;A7 SPORTBACK 3.0 TDI 313 QUATTRO TIPTRONIC;0;0;0;0;0;0;0;2585896;2452254;1963971;1858884
9;1064;AUDI;A3 SPORTBACK 1.4 TFSI 122 ATTRACTION S TRONIC;0;0;0;0;0;0;0;525400;520151;493014;451748
9;1065;AUDI;A3 SPORTBACK 1.6 TDI 105 ATTRACTION S TRONIC;0;0;0;0;0;0;0;661214;628767;576278;546190
9;1066;AUDI;A3 SPORTBACK 1.4 TFSI 122 AMBITION S TRONIC;0;0;0;0;0;0;0;614380;605752;591217;583487
9;1067;AUDI;A3 1.4 TFSI ATTRACTION (122);0;0;0;0;0;0;0;0;0;0;0
9;1068;AUDI;A4 2.0 TDI 177 QUATTRO S TRONIC PI;0;0;0;0;0;0;0;951909;866531;762866;705376
9;1070;AUDI;A3 1.4 TFSI 140 ATTRACTION S TRONIC;0;0;0;0;0;0;0;584606;547608;514976;475530
